ID,Timestamp,IP Address,Endpoint,Method,Payload Size,Anomaly Score,Rule Flag,Rule Detection,ML Flag,Final Decision,Attacks Count,Failed Attempts
206,2026-02-21 19:23:57,192.168.1.9,/api/delete,POST,32,-0.487595,0,,0,NORMAL,0,0
207,2026-02-21 19:23:57,203.0.113.9,/api/auth/register,POST,29,-0.492243,1,"XSS_INJECTION,SLOW_DDoS (145 requests)",0,ATTACK,2,0
204,2026-02-21 19:23:56,192.168.1.18,/api/auth/login,GET,0,-0.599759,0,,1,ANOMALY,0,0
205,2026-02-21 19:23:56,192.168.1.5,/api/products,GET,0,-0.57226,0,,1,ANOMALY,0,0
202,2026-02-21 19:23:55,192.168.1.10,/api/admin,GET,0,-0.560928,0,,1,ANOMALY,0,0
203,2026-02-21 19:23:55,192.168.1.7,/api/search,GET,0,-0.57226,0,,1,ANOMALY,0,0
200,2026-02-21 19:23:54,192.168.1.12,/api/users,GET,0,-0.57226,0,,1,ANOMALY,0,0
201,2026-02-21 19:23:54,192.168.1.8,/api/admin,GET,0,-0.560548,0,,1,ANOMALY,0,0
198,2026-02-21 19:23:53,192.168.1.13,/api/users,POST,42,-0.445925,0,,0,NORMAL,0,0
199,2026-02-21 19:23:53,192.168.1.19,/api/search,POST,34,-0.476142,1,COMMAND_INJECTION,0,ATTACK,1,0
197,2026-02-21 19:23:52,192.168.1.15,/api/admin,POST,32,-0.488917,0,,0,NORMAL,0,0
195,2026-02-21 19:23:51,192.168.1.15,/api/orders,POST,28,-0.428823,0,,0,NORMAL,0,0
196,2026-02-21 19:23:51,192.168.1.14,/api/orders,GET,0,-0.559412,0,,1,ANOMALY,0,0
193,2026-02-21 19:23:50,192.168.1.18,/api/users,GET,0,-0.57226,0,,1,ANOMALY,0,0
194,2026-02-21 19:23:50,192.168.1.9,/api/delete,GET,0,-0.564638,0,,1,ANOMALY,0,0
191,2026-02-21 19:23:49,192.168.1.10,/api/admin,PUT,32,-0.512359,0,,1,ANOMALY,0,0
192,2026-02-21 19:23:49,192.168.1.18,/api/orders,GET,0,-0.560548,0,,1,ANOMALY,0,0
189,2026-02-21 19:23:48,192.168.1.12,/api/products,POST,23,-0.469595,0,,0,NORMAL,0,0
190,2026-02-21 19:23:48,192.168.1.4,/api/upload,POST,11,-0.438488,0,,0,NORMAL,0,0
187,2026-02-21 19:23:47,192.168.1.14,/api/admin,POST,46,-0.472788,0,,0,NORMAL,0,0
188,2026-02-21 19:23:47,192.168.1.5,/api/auth/register,GET,0,-0.560548,0,,1,ANOMALY,0,0
185,2026-02-21 19:23:46,192.168.1.17,/api/search,GET,0,-0.57226,0,,1,ANOMALY,0,0
186,2026-02-21 19:23:46,192.168.1.14,/api/upload,GET,0,-0.560548,0,,1,ANOMALY,0,0
183,2026-02-21 19:23:45,192.168.1.12,/api/auth/register,POST,25,-0.417024,0,,0,NORMAL,0,0
184,2026-02-21 19:23:45,192.168.1.6,/api/auth/register,POST,32,-0.459127,0,,0,NORMAL,0,0
182,2026-02-21 19:23:44,192.168.1.10,/api/search,GET,0,-0.57226,0,,1,ANOMALY,0,0
180,2026-02-21 19:23:43,192.168.1.10,/api/auth/register,POST,11,-0.438488,0,,0,NORMAL,0,0
181,2026-02-21 19:23:43,203.0.113.9,/api/users,POST,33,-0.546773,1,"SQL_INJECTION (pattern matched),SLOW_DDoS (230 requests)",1,ATTACK,2,1
178,2026-02-21 19:23:42,192.168.1.15,/api/delete,GET,0,-0.564638,0,,1,ANOMALY,0,0
179,2026-02-21 19:23:42,192.168.1.4,/api/auth/register,POST,34,-0.469944,1,COMMAND_INJECTION,0,ATTACK,1,0
